English,Chinese,Pinyin
It’s like the American ones.,这就像美国的一样。,zhè jiù xiàng měiguó de yīyàng 。
It’s more expensive in the United States than in Italy.,美国比意大利贵。,měiguó bǐ yìdàlì guì 。
It’s more fun to do the grocery shopping in Italy.,在意大利买菜更有趣。,zài yìdàlì mǎicài gēng yǒuqù 。
It’s nine o’clock.,现在九点。,xiànzài jiǔdiǎn 。
It’s not a problem.,这不是一个问题。,zhè bùshì yīgè wèntí 。
It’s not all right with me.,我觉得不太好。,wǒ juéde bùtàihǎo 。
It’s not bad at all!,一点也不坏！,yīdiǎn yě bùhuài ！
It’s not crowded on the promenade today.,今天的海滨长廊并不拥挤。,jīntiān de hǎibīn chángláng bìng bù yōngjǐ 。
It’s not dangerous!,这并不危险！,zhè bìng bù wēixiǎn ！
It’s not difficult at all!,一点也不难！,yīdiǎn yě bùnán ！
It’s not difficult at all.,这一点也不难。,zhè yīdiǎn yě bùnán 。
It’s not easy.,这并不容易。,zhè bìng bù róngyì 。
It’s not enough.,这不够。,zhè bùgòu 。
It’s not expensive to do the shopping here.,在这里购物并不贵。,zài zhèlǐ gòuwù bìng bùguì 。
It’s not far from here.,离这里不远。,lí zhèlǐ bùyuǎn 。
It’s not far from the airport.,离机场不远。,lí jīchǎng bùyuǎn 。
It’s not far from the public gardens.,距离公共花园不远。,jùlí gōnggòng huāyuán bùyuǎn 。
It’s not far.,不是很远。,bùshì hěn yuǎn 。
It’s not OK.,这不行。,zhè bùxíng 。
It’s not over there.,它不在那儿。,tā bù zài nàr 。
It’s not possible.,这是不可能的。,zhè shì bù kěnéng de 。
It’s not really very hot.,确实不是很热。,quèshí bùshì hěn rè 。
It’s not sweet.,这不甜。,zhèbùtián 。
It’s not the way to Rome.,这不是通往罗马的路。,zhè bùshì tōngwǎng luómǎ de lù 。
It’s not too heavy to carry.,携带起来并不太重。,xiédài qǐlai bìng bù tàizhòng 。
It’s not true but I believe it!,这不是真的，但我相信！,zhè bùshì zhēnde ， dàn wǒ xiāngxìn ！
It’s not truly a tourist destination.,它并不是一个真正的旅游目的地。,tā bìng bùshì yīgè zhēnzhèng de lǚyóu mùdìdì 。
It’s one of the most famous markets of Italy.,它是意大利最著名的市场之一。,tā shì yìdàlì zuì zhùmíng de shìchǎng zhīyī 。
It’s one of the most famous markets of Rome.,它是罗马最著名的市场之一。,tā shì luómǎ zuì zhùmíng de shìchǎng zhīyī 。
It’s outside of the world.,这是在世界之外。,zhè shì zài shìjiè zhīwài 。
It’s parked in front of my apartment.,它停在我的公寓前面。,tā tíng zài wǒ de gōngyù qiánmiàn 。
It’s perfect.,这是完美的。,zhèshì wánměi de 。
It’s pleasant to look out the train window.,透过火车窗外看去很舒服。,tòuguò huǒchē chuāngwài kànqù hěn shūfu 。
It’s raining in buckets.,正在下桶雨。,zhèngzài xiàtǒng yǔ 。
It’s relaxing to do a tour of the islands on a cruise.,乘游轮游览岛屿是一件很轻松的事。,chéng yóulún yóulǎn dǎoyǔ shì yījiàn hěn qīngsōng de shì 。
It’s relaxing to look at the landscape.,看看风景很放松。,kànkan fēngjǐng hěn fàngsōng 。
It’s relaxing to look out the train window.,看着火车窗外很放松。,kànzhe huǒchē chuāngwài hěn fàngsōng 。
It’s relaxing to take a tour of the island.,环岛游览很放松。,huándǎo yóulǎn hěn fàngsōng 。
It’s relaxing to travel by train.,坐火车旅行很放松。,zuòhuǒchē lǚxíng hěn fàngsōng 。
It’s so exciting!,它是如此令人兴奋！,tā shì rúcǐ lìngrénxīngfèn ！
It’s so relaxing to take a vacation!,放假真是太放松了！,fàngjià zhēnshìtài fàngsōng le ！
It’s something that one drinks before eating.,这是饭前喝的东西。,zhèshì fànqián hē de dōngxi 。
It’s straight ahead.,就在前方。,jiù zài qiánfāng 。
It’s the be-all and end-all.,这是最重要的。,zhè shì zuì zhòngyào de 。
It’s the beginning of the end.,这是结束的开始。,zhèshì jiéshù de kāishǐ 。
It’s the end of the world.,这是世界末日。,zhèshì shìjièmòrì 。
It’s the largest family that I’ve ever seen.,这是我见过的最大的家庭。,zhè shì wǒ jiàn guò de zuìdà de jiātíng 。
It’s the largest ship that I have ever seen.,这是我见过的最大的船。,zhè shì wǒ jiàn guò de zuìdà de chuán 。
It’s the masterpiece of a famous artist.,这是一位著名艺术家的杰作。,zhèshì yīwèi zhùmíng yìshùjiā de jiézuò 。
It’s the masterpiece of a famous writer.,这是一位著名作家的杰作。,zhèshì yīwèi zhemíngzuòjiā de jiézuò 。
It’s the most beautiful place I’ve ever seen.,这是我见过的最美丽的地方。,zhè shì wǒ jiàn guò de zuì měilì de dìfāng 。
It’s there near to the ancient buildings.,它就在古建筑附近。,tā jiù zài gǔjiànzhù fùjìn 。
It’s time that I take a vacation!,我是时候放假了！,wǒ shì shíhou fàngjià le ！
It’s to the right.,它在右边。,tā zài yòubian 。
It’s too big to carry.,它太大了，无法携带。,tā tàidà le ， wúfǎ xiédài 。
It’s too heavy to carry.,它太重了，无法携带。,tā tàizhòng le ， wúfǎ xiédài 。
It’s too much money.,钱太多了。,qiántàiduō le 。
It’s too much.,太多了。,tàiduō le 。
It’s true but I don’t believe it!,这是真的，但我不相信！,zhèshì zhēnde ， dàn wǒ bù xiāngxìn ！
It’s two o’clock.,现在是两点了。,xiànzài shì liǎngdiǎn le 。
It’s worth it.,这很值得。,zhè hěn zhíde 。
Italy is very beautiful.,意大利非常美丽。,yìdàlì fēicháng měilì 。
Just a moment.,一会儿。,yīhuìr 。
"Last month it rained a lot, but now it’s beautiful.",上个月下了很多雨，但现在天气很好。,shànggèyuè xià le hěnduō yǔ ， dàn xiànzài tiānqì hěn hǎo 。
"Last month, I bought the tickets for this show.",上个月，我买了这个演出的门票。,shànggèyuè ， wǒ mǎi le zhège yǎnchū de ménpiào 。
"Last year it snowed, and it rained a lot.",去年下了一场雪，还下了很大的雨。,qùnián xià le yīcháng xuě ， huán xià le hěndà de yǔ 。
Later I will stop at the department store.,稍后我将在百货商店停留。,shāohòu wǒ jiàng zài bǎihuòshāngdiàn tíngliú 。
Later.,之后。,zhīhòu 。
Let me call a doctor for you.,让我帮你叫个医生吧。,ràng wǒ bāng nǐ jiào gè yīshēng bā 。
Let me call a taxi for you.,让我为您叫一辆出租车。,ràng wǒ wéi nín jiào yīliàng chūzūchē 。
Let me call the emergency room.,让我给急诊室打电话。,ràng wǒ gěi jízhěnshì dǎdiànhuà 。
Let me call the owner.,让我给店主打电话。,ràng wǒ gěi diànzhǔ dǎdiànhuà 。
Let me call the plumber.,让我打电话给水管工。,ràng wǒ dǎdiànhuà gěishuǐguǎn gōng 。
Let me call the police.,让我报警。,ràng wǒ bàojǐng 。
Let me call your mother.,让我给你妈妈打电话。,ràng wǒ gěi nǐ māma dǎdiànhuà 。
Let me check your blood pressure.,让我检查一下你的血压。,ràng wǒ jiǎncháyīxià nǐ de xuèyā 。
Let me know as soon as possible.,尽快让我知道。,jìnkuài ràng wǒ zhīdào 。
Let me know.,让我知道。,ràng wǒ zhīdào 。
Let me see something new.,让我看看有什么新东西。,ràng wǒ kànkan yǒu shénme xīn dōngxi 。
Let me see your car.,让我看看你的车。,ràng wǒ kànkan nǐ de chē 。
Let me see your license.,让我看看你的执照。,ràng wǒ kànkan nǐ de zhízhào 。
Let’s do something new tonight.,今晚我们来做点新事吧。,jīnwǎn wǒmen lái zuòdiǎn xīnshì bā 。
Let’s eat something new tonight.,今晚我们吃点新东西吧。,jīnwǎn wǒmen chīdiǎn xīn dōngxi bā 。
Let’s go into town together.,我们一起进城吧。,wǒmen yīqǐ jìnchéng bā 。
Let’s go out at noon then.,那我们中午出去吧。,nà wǒmen zhōngwǔ chūqù bā 。
Let’s go out for half an hour then.,那我们出去玩半小时吧。,nà wǒmen chūqùwán bànxiǎoshí bā 。
Let’s go out in half an hour then.,那我们半小时后出去吧。,nà wǒmen bànxiǎoshí hòu chūqù bā 。
Let’s go to the airline clerk.,我们去找航空公司柜台吧。,wǒmen qù zhǎo hángkōnggōngsī guìtái bā 。
Let’s go to the airline.,我们去航空公司吧。,wǒmen qù hángkōnggōngsī bā 。
Let’s go to the museum if it’s not far.,如果博物馆不远的话我们就去吧。,rúguǒ bówùguǎn bùyuǎn dehuà wǒmen jiù qù bā 。
Let’s go.,我们走吧。,wǒmen zǒu bā 。
Let’s have a glass of wine before.,我们先喝一杯酒吧。,wǒmen xiān hēyībēi jiǔbā 。
Let’s have a snack.,我们吃点小吃吧。,wǒmen chīdiǎn xiǎochī bā 。
Let’s have the delicious hot chocolate with whipped cream.,让我们来品尝美味的热巧克力和鲜奶油吧。,ràng wǒmen lái pǐncháng měiwèi de rè qiǎokèlì hé xiānnǎiyóu bā 。
Let’s have these cookies.,我们来吃这些饼干吧。,wǒmen lái chī zhèxiē bǐnggān bā 。
Let’s see something beautiful tonight.,今晚让我们看一些美丽的东西。,jīnwǎn ràng wǒmen kàn yīxiē měilì de dōngxi 。
Let’s see the version with the subtitles.,我们来看看有字幕的版本。,wǒmen lái kànkan yǒu zìmù de bǎnběn 。
Let’s stop and I can check.,我们停下来，我可以检查一下。,wǒmen tíngxiàlái ， wǒ kěyǐ jiǎncháyīxià 。
Let’s stop at the bar on the promenade.,我们在海滨长廊的酒吧停下来吧。,wǒmen zài hǎibīn chángláng de jiǔbā tíngxiàlái bā 。
Let’s stop there and have a snack.,我们就在那儿停下来吃点小吃吧。,wǒmen jiù zài nàr tíngxiàlái chīdiǎn xiǎochī bā 。
Let’s stop to do the shopping.,我们停下来购物吧。,wǒmen tíngxiàlái gòuwù bā 。
Let’s stop to take a tour.,我们停下来参观一下吧。,wǒmen tíngxiàlái cānguān yīxià bā 。
Let’s take the subway.,我们坐地铁吧。,wǒmen zuòdìtiě bā 。
Let’s take your car.,我们开你的车吧。,wǒmen kāi nǐ de chē bā 。
Let’s talk about the hotel.,我们来谈谈酒店吧。,wǒmen lái tántán jiǔdiàn bā 。
"Like your mother, you are full of resources.",像你的母亲一样，你充满了资源。,xiàng nǐ de mǔqīn yīyàng ， nǐ chōngmǎn le zīyuán 。
"Look, our street is here.",看，我们的街道就在这里。,kàn ， wǒmen de jiēdào jiù zài zhèlǐ 。
Look!,看！,kàn ！
"Looking at the sky, I would say that it’s true.",看着天空，我会说这是真的。,kànzhe tiānkōng ， wǒhuì shuō zhè shì zhēnde 。
"Looking at the sky, I would say that you’re right.",看着天空，我会说你是对的。,kànzhe tiānkōng ， wǒhuì shuō nǐ shì duì de 。
"Looking at the weather forecast, I would say that you’re right.",看了天气预报，我想说你是对的。,kàn le tiānqìyùbào ， wǒ xiǎng shuō nǐ shì duì de 。
Many actors of extraordinary talent come to this theater.,许多才华横溢的演员来到这个剧院。,xǔduō cáihuáhéngyì de yǎnyuán láidào zhège jùyuàn 。
Many friends were invited.,邀请了很多朋友。,yāoqǐng le hěnduō péngyou 。
Many people like to travel through Europe.,许多人喜欢去欧洲旅行。,xǔduō rén xǐhuan qù ōuzhōu lǚxíng 。
Many people play golf.,很多人打高尔夫球。,hěnduō rén dǎ gāoěrfūqiú 。
May I invite you?,我可以邀请你吗？,wǒ kěyǐ yāoqǐng nǐ ma ？
Maybe he will do an interview.,也许他会接受采访。,yěxǔ tāhuì jiēshòu cǎifǎng 。
Maybe we should buy something.,也许我们应该买点东西。,yěxǔ wǒmen yīnggāi mǎidiǎn dōngxi 。
Maybe we should rent something first.,也许我们应该先租点东西。,yěxǔ wǒmen yīnggāi xiānzūdiǎn dōngxi 。
Maybe you can rent something first.,也许你可以先租点东西。,yěxǔ nǐ kěyǐ xiānzūdiǎn dōngxi 。
Me too.,我也是。,wǒ yě shì 。
"Me, I’m going to have dinner now.",我，我现在要去吃晚饭了。,wǒ ， wǒ xiànzài yào qù chīwǎnfàn le 。
Monday.,周一。,zhōuyī 。
More often.,更频繁。,gēng pínfán 。
Most of the people are outside during the summer.,夏天，大多数人都在户外。,xiàtiān ， dàduōshù rén dū zài hùwài 。
Most of the shops are closed today.,今天大多数商店都关门了。,jīntiān dàduōshù shāngdiàn dū guānmén le 。
My assistant knows the artist.,我的助手认识这位艺术家。,wǒ de zhùshǒu rènshi zhèwèi yìshùjiā 。
My assistant met the artist.,我的助手认识了这位艺术家。,wǒ de zhùshǒu rènshi le zhèwèi yìshùjiā 。
My aunt is a great cook.,我的阿姨是一位很棒的厨师。,wǒ de āyí shì yīwèi hěnbàng de chúshī 。
My bags are still in the car.,我的行李还在车里。,wǒ de xíngli huán zài chēlǐ 。
My boss liked the article.,我的老板喜欢这篇文章。,wǒ de lǎobǎn xǐhuan zhè piānwénzhāng 。
My boss likes the plan.,我的老板喜欢这个计划。,wǒ de lǎobǎn xǐhuan zhège jìhuà 。
My brother and I have a lot about which to talk.,我和我的兄弟有很多话要说。,wǒ hé wǒ de xiōngdì yǒu hěnduō huà yàoshuō 。
My brother is married and he has some money.,我哥哥已经结婚了，他有一些钱。,wǒ gēge yǐjīng jiéhūn le ， tā yǒu yīxiē qián 。
My brother is married.,我哥哥结婚了。,wǒ gēge jiéhūn le 。
"My brother isn’t rich, and he prefers to pay in cash.",我哥哥并不富有，他更喜欢用现金支付。,wǒ gēge bìng bù fùyǒu ， tā gēng xǐhuan yòng xiànjīnzhīfù 。
"My brother isn’t rich, but he has some money.",我哥哥虽然不富有，但也有一些钱。,wǒ gēge suīrán bù fùyǒu ， dàn yě yǒu yīxiē qián 。
My brother sells wine.,我哥哥是卖酒的。,wǒ gēge shì mài jiǔ de 。
My car is at home.,我的车在家里。,wǒ de chē zài jiālǐ 。
My car is big enough.,我的车够大。,wǒ de chēgòu dà 。
My car is parked on the street.,我的车停在街上。,wǒ de chē tíng zài jiēshang 。
My car stopped outside.,我的车停在外面。,wǒ de chē tíng zài wàimiàn 。
My car stopped suddenly.,我的车突然停了下来。,wǒ de chē tūrán tíng le xiàlai 。
My cellphone doesn’t work here.,我的手机在这里无法使用。,wǒ de shǒujī zài zhèlǐ wúfǎ shǐyòng 。
My city is the most ecological in Europe.,我的城市是欧洲最生态的城市。,wǒ de chéngshì shì ōuzhōu zuì shēngtài de chéngshì 。
My colleagues are leaving.,我的同事们要离开了。,wǒ de tóngshì men yào líkāi le 。
My daughter is at the university.,我女儿正在上大学。,wǒ nǚér zhèngzài shàng dàxué 。
My daughter’s boyfriend is very nice.,我女儿的男朋友非常好。,wǒ nǚér de nánpéngyou fēicháng hǎo 。
My family had an inn in the mountains.,我家在山里有一家客栈。,wǒjiā zài shānlǐ yǒu yījiā kèzhàn 。
My father continued the tradition.,我父亲延续了这个传统。,wǒ fùqīn yánxù le zhège chuántǒng 。
My father loves the opera.,我父亲喜欢歌剧。,wǒ fùqīn xǐhuan gējù 。
My father still loves the opera.,我父亲仍然热爱歌剧。,wǒ fùqīn réngrán rèài gējù 。
My father taught me many things.,我的父亲教会了我很多东西。,wǒ de fùqīn jiàohuì le wǒ hěnduō dōngxi 。
My father was a singer.,我的父亲是一名歌手。,wǒ de fùqīn shì yīmíng gēshǒu 。
My father was an opera singer.,我的父亲是一名歌剧演员。,wǒ de fùqīn shì yīmíng gējù yǎnyuán 。
My father works at the opera.,我父亲在歌剧院工作。,wǒ fùqīn zài gējùyuàn gōngzuò 。
My flight has been canceled because of the strike.,由于罢工，我的航班被取消了。,yóuyú bàgōng ， wǒ de hángbān bèi qǔxiāo le 。
My grandfather was an artisan and an artist.,我的祖父是一位工匠和艺术家。,wǒ de zǔfù shì yīwèi gōngjiàng hé yìshùjiā 。
My grandfather was an artisan too.,我的祖父也是一位工匠。,wǒ de zǔfù yě shì yīwèi gōngjiàng 。
My grandfather was an artist too.,我的祖父也是一位艺术家。,wǒ de zǔfù yě shì yīwèi yìshùjiā 。
My grandfather went to the inn.,我爷爷去了旅馆。,wǒ yéye qù le lǚguǎn 。
My grandparents came back here too.,我的祖父母也回到了这里。,wǒ de zǔfùmǔ yě huídào le zhèlǐ 。
My grandparents got married here too.,我的祖父母也在这里结婚。,wǒ de zǔfùmǔ yě zài zhèlǐ jiéhūn 。
My grandparents moved to the United States.,我的祖父母搬到了美国。,wǒ de zǔfùmǔ bāndào le měiguó 。
My grandparents were invited too.,我的祖父母也被邀请了。,wǒ de zǔfùmǔ yě bèi yāoqǐng le 。
My hotel is in the countryside.,我住的旅馆在乡村。,wǒ zhù de lǚguǎn zài xiāngcūn 。
My husband and I went to his place Saturday.,我和丈夫星期六去了他家。,wǒ hé zhàngfu xīngqīliù qù le tājiā 。
My husband and I.,我和我丈夫。,wǒ hé wǒ zhàngfu 。
My husband is of Italian descent.,我的丈夫有意大利血统。,wǒ de zhàngfu yǒu yìdàlì xuètǒng 。
My husband is upstairs.,我丈夫在楼上。,wǒ zhàngfu zài lóushàng 。
My husband speaks quickly.,我丈夫说话很快。,wǒ zhàngfu shuōhuà hěnkuài 。
My husband’s family is of Italian descent.,我丈夫的家庭有意大利血统。,wǒ zhàngfu de jiātíng yǒu yìdàlì xuètǒng 。
My instructor was demanding but I managed.,我的教练要求很高，但我做到了。,wǒ de jiàoliàn yāoqiú hěn gāo ， dàn wǒ zuòdào le 。
My luggage hasn’t arrived.,我的行李还没到。,wǒ de xíngli huán méidào 。
My meeting is on Monday at three o’clock.,我的会议定在星期一下午三点。,wǒ de huìyì dìng zài xīngqīyī xiàwǔ sāndiǎn 。
My mouth is watering.,我在流口水。,wǒ zài liúkǒushuǐ 。
My new camera is nice.,我的新相机很好。,wǒ de xīn xiàngjī hěn hǎo 。
My new friends are the best in the world.,我的新朋友是世界上最好的。,wǒ de xīn péngyou shì shìjiè shàng zuìhǎo de 。
My niece is coming.,我的侄女来了。,wǒ de zhínǚ lái le 。
My niece is on a trip with her boyfriend.,我的侄女和她男朋友一起去旅行。,wǒ de zhínǚ hé tā nánpéngyou yīqǐ qù lǚxíng 。
My parents are arriving straight home.,我的父母直接回家了。,wǒ de fùmǔ zhíjiē huíjiā le 。
My pen doesn’t work.,我的笔不能用。,wǒ de bǐ bùnéng yòng 。
My relatives remained in the United States.,我的亲戚仍然留在美国。,wǒ de qīnqi réngrán liúzài měiguó 。
My room is on the second floor.,我的房间在二楼。,wǒ de fángjiān zài èrlóu 。
My room is very comfortable.,我的房间很舒服。,wǒ de fángjiān hěn shūfu 。
My sister is married to an American.,我姐姐嫁给了一个美国人。,wǒ jiějie jiàgěi le yīgè měiguó rén 。
My son goes to school.,我儿子去上学。,wǒ érzi qù shàngxué 。
My son is taking a course of art history.,我儿子正在上艺术史课程。,wǒ érzi zhèngzài shàng yìshùshǐ kèchéng 。
My son is twenty-five.,我儿子二十五岁了。,wǒ érzi èrshíwǔsuì le 。
My son will be an artisan too.,我的儿子也将成为一名工匠。,wǒ de érzi yě jiàng chéngwéi yīmíng gōngjiàng 。
My stand has the best prices of the market.,我的摊位拥有市场上最优惠的价格。,wǒ de tānwèi yōngyǒu shìchǎng shàng zuì yōuhuì de jiàgé 。
"My uncle had a son, who is my cousin.",我叔叔有一个儿子，他是我的表弟。,wǒ shūshu yǒu yīgè érzi ， tā shì wǒ de biǎodì 。
My uncle is proud of his house.,我叔叔为他的房子感到自豪。,wǒ shūshu wéi tā de fángzi gǎndào zìháo 。
"My uncle isn’t rich, but he has a little money.",我叔叔并不富有，但也有一点钱。,wǒ shūshu bìng bù fùyǒu ， dàn yě yǒu yīdiǎn qián 。
My uncle’s house is furnished with taste.,我叔叔的房子布置得很有品味。,wǒ shūshu de fángzi bùzhì dé hěn yǒu pǐnwèi 。
My uncle’s house is very welcoming.,我舅舅的家很温馨。,wǒ jiùjiu de jiā hěn wēnxīn 。
My wife has invited many people.,我妻子邀请了很多人。,wǒ qīzi yāoqǐng le hěnduō rén 。
My wife is of Italian descent.,我的妻子有意大利血统。,wǒ de qīzi yǒu yìdàlì xuètǒng 。
My wife is over there.,我妻子在那边。,wǒ qīzi zài nàbian 。
My wife writes a lot of letters.,我的妻子写了很多信。,wǒ de qīzi xiě le hěnduō xìn 。
My wife’s cousin is an exceptional cook.,我妻子的表弟是一位出色的厨师。,wǒ qīzi de biǎodì shì yīwèi chūsè de chúshī 。
next summer,下个夏天,xiàge xiàtiān
Next to the lake there was a bike path.,湖边有一条自行车道。,húbiān yǒu yītiáo zìxíngchēdào 。
next year in the summer,明年夏天,míngnián xiàtiān
Nine P.M.,晚上九点,wǎnshàng jiǔdiǎn
No one called.,没有人打电话。,méiyǒu rén dǎdiànhuà 。
"No, sir.",不，先生。,bù ， xiānsheng 。
"No, thank you.",不，谢谢。,bù ， xièxie 。
Not bad.,不错。,bùcuò 。
Not here.,不在这里。,bù zài zhèlǐ 。
Not more than two euros per liter.,每升不超过两欧元。,měishēng bù chāoguò liǎng ōuyuán 。
Not too bad.,还不错。,huán bùcuò 。
Not very well.,不是很好。,bùshì hěn hǎo 。
Nothing yet.,还没有。,huán méiyǒu 。
Nothing.,没有什么。,méiyǒu shénme 。
Nothing’s broken but I fell a few times.,没有什么东西坏了，但我摔倒了几次。,méiyǒu shénme dōngxi huài le ， dàn wǒ shuāidǎo le jǐcì 。
"Now that I’m here, let’s go to lunch.",既然我来了，我们去吃午饭吧。,jìrán wǒlái le ， wǒmen qù chī wǔfàn bā 。
"Now that we’re here, let’s go eat.",既然来了，我们就去吃饭吧。,jìrán lái le ， wǒmen jiù qù chīfàn bā 。
"Now that you’re here, let’s go eat.",既然你来了，我们就去吃饭吧。,jìrán nǐ lái le ， wǒmen jiù qù chīfàn bā 。
"Now that you’re hungry, let’s go eat.",现在你饿了，我们去吃饭吧。,xiànzài nǐ è le ， wǒmen qù chīfàn bā 。
Now.,现在。,xiànzài 。
On the bike path next to the lake.,在湖边的自行车道上。,zài húbiān de zìxíngchēdào shàng 。
Once I went to Sicily by ferryboat.,有一次我乘渡船去西西里岛。,yǒu yīcì wǒ chéng dùchuán qù xīxīlǐdǎo 。
Once it happened at the airport.,有一次，事情发生在机场。,yǒu yīcì ， shìqing fāshēng zài jīchǎng 。
Once it happened to me too.,我也曾经遇到过一次。,wǒ yě céngjīng yùdào guò yīcì 。
"One beer, and a glass of red wine, please.",请来一瓶啤酒和一杯红酒。,qǐnglái yīpíng píjiǔ hé yībēi hóngjiǔ 。
One can eat healthy food there.,人们可以在那里吃到健康的食物。,rénmen kěyǐ zài nàli chī dào jiànkāng de shíwù 。
One can eat locally-grown food.,人们可以吃当地种植的食物。,rénmen kěyǐ chī dāngdì zhòngzhí de shíwù 。
One can go horseback riding.,一个人可以去骑马。,yīgè rén kěyǐ qù qímǎ 。
One can go there by ferryboat.,可以乘渡船前往。,kěyǐ chéng dùchuán qiánwǎng 。
One can go to Sicily by ferryboat.,可以乘坐渡船前往西西里岛。,kěyǐ chéngzuò dùchuán qiánwǎng xīxīlǐdǎo 。
One can only pay in cash?,只能用现金支付吗？,zhǐnéng yòng xiànjīnzhīfù ma ？
One can pay only in cash here.,在这里只能用现金支付。,zài zhèlǐ zhǐnéng yòng xiànjīnzhīfù 。
One can put the bicycle next to the lake.,可以把自行车放在湖边。,kěyǐ bǎ zìxíngchē fàngzài húbiān 。
One can’t eat the local produce.,人们不能吃当地的农产品。,rénmen bùnéng chī dāngdì de nóngchǎnpǐn 。
"One chocolate ice cream, please.",请来一份巧克力冰淇淋。,qǐnglái yífèn qiǎokèlì bīngqílín 。
One drives fast here.,一个人在这里开得很快。,yīgè rén zài zhèlǐ kāi dé hěnkuài 。
One hundred eighty.,一百八十。,yībǎibāshí 。
One needs to do the grocery shopping this morning.,今天早上需要去杂货店购物。,jīntiān zǎoshang xūyào qù záhuòdiàn gòuwù 。
One o’clock.,一点钟。,yīdiǎnzhōng 。
Or perhaps we’ll take the subway.,或者也许我们会乘坐地铁。,huòzhě yěxǔ wǒmen huì chéngzuò dìtiě 。
Or perhaps you prefer some water?,或者也许您更喜欢喝点水？,huòzhě yěxǔ nín gēng xǐhuan hēdiǎn shuǐ ？
Or some wine?,或者来点酒？,huòzhě láidiǎn jiǔ ？
Our boss already likes the plan.,我们的老板已经喜欢这个计划了。,wǒmen de lǎobǎn yǐjīng xǐhuan zhège jìhuà le 。
Our customer talks too fast.,我们的客户说话太快了。,wǒmen de kèhù shuōhuà tàikuài le 。
Our grandfather was the brother of your grandmother.,我们的祖父是你祖母的兄弟。,wǒmen de zǔfù shì nǐ zǔmǔ de xiōngdì 。
Our grandmother is the sister of your grandfather.,我们的祖母是你祖父的妹妹。,wǒmen de zǔmǔ shì nǐ zǔfù de mèimei 。
Our grandmother was the sister of your grandfather.,我们的祖母是你祖父的妹妹。,wǒmen de zǔmǔ shì nǐ zǔfù de mèimei 。
Our oldest daughter is here in Italy.,我们的大女儿在意大利。,wǒmen de dà nǚér zài yìdàlì 。
Our restaurant is famous for a beautiful view.,我们的餐厅以美丽的景色而闻名。,wǒmen de cāntīng yǐ měilì de jǐngsè ér wénmíng 。
Our son is little.,我们的儿子还小。,wǒmen de érzi huán xiǎo 。
Perhaps five minutes by taxi.,坐出租车大概五分钟。,zuò chūzūchē dàgài wǔfēnzhōng 。
Perhaps.,也许。,yěxǔ 。
Please.,请。,qǐng 。
Pleased to meet you.,很高兴认识你。,hěn gāoxìng rènshi nǐ 。
Pleased to meet you.,很高兴认识你。,hěn gāoxìng rènshi nǐ 。
Probably I should have called.,也许我应该打电话。,yěxǔ wǒ yīnggāi dǎdiànhuà 。
Put in ten liters.,放入十升。,fàngrù shíshēng 。
Really?,真的吗？,zhēnde ma ？
Recycling is important for a healthy environment.,回收对于健康环境很重要。,huíshōu duìyú jiànkāng huánjìng hěn zhòngyào 。
Recycling is important in the United States.,回收在美国很重要。,huíshōu zài měiguó hěn zhòngyào 。
Rome is far.,罗马很远。,luómǎ hěn yuǎn 。
Shall we go to the museum?,我们去博物馆吗？,wǒmen qù bówùguǎn ma ？
Shall we go to the restaurant after?,过后我们去餐厅吧？,guòhòu wǒmen qù cāntīng bā ？
Shall we play tennis?,我们去打网球吗？,wǒmen qù dǎwǎngqiú ma ？
Shall we take a walk in the museum garden?,我们去博物馆花园散步好吗？,wǒmen qù bówùguǎn huāyuán sànbù hǎo ma ？
She comes from the United States.,她来自美国。,tā láizì měiguó 。
She didn’t leave any number?,她没有留下电话号码吗？,tā méiyǒu liúxià diànhuàhàomǎ ma ？
She didn’t travel this year.,她今年没有旅行。,tā jīnnián méiyǒu lǚxíng 。
She doesn’t have many vacations this year.,她今年的假期不多。,tā jīnnián de jiàqī bù duō 。
She doesn’t travel much now.,她现在不常旅行。,tā xiànzài bù cháng lǚxíng 。
She got married in Cortona.,她在科尔托纳结婚。,tā zài kēěrtuō nà jiéhūn 。
"She had a son, who is my father.",她有一个儿子，就是我的父亲。,tā yǒu yīgè érzi ， jiùshì wǒ de fùqīn 。
"She had a son, who is my uncle.",她有一个儿子，就是我的叔叔。,tā yǒu yīgè érzi ， jiùshì wǒ de shūshu 。
"She had a son, who is the father of my husband.",她有一个儿子，他是我丈夫的父亲。,tā yǒu yīgè érzi ， tā shì wǒ zhàngfu de fùqīn 。
She had many friends in the village.,她在村里有很多朋友。,tā zài cūnlǐ yǒu hěnduō péngyou 。
She had many friends that live in the village.,她有很多朋友住在村里。,tā yǒu hěnduō péngyou zhù zài cūnlǐ 。
She has always wanted to be a teacher in a high school.,她一直想成为一名高中老师。,tā yīzhí xiǎng chéngwéi yīmíng gāozhòng lǎoshī 。
She has just completed her studies.,她刚刚完成学业。,tā gānggang wánchéngxuéyè 。
She has many friends in the village.,她在村里有很多朋友。,tā zài cūnlǐ yǒu hěnduō péngyou 。
She hasn’t changed the money.,她没有换钱。,tā méiyǒu huànqián 。
She is a champion skier.,她是滑雪冠军。,tā shì huáxuě guànjūn 。
She is already a famous singer.,她已经是一位著名歌手了。,tā yǐjīng shì yīwèi zhùmíng gēshǒu le 。
She loves the farm.,她喜欢农场。,tā xǐhuan nóngchǎng 。
